    1,     1,      1,       1,        1,         1
    2,     4,      8,       3,        5,         9
    3,     9,     27,       6,       14,        36
    4,    16,     64,      10,       30,       100
    5,    25,    125,      15,       55,       225
    6,    36,    216,      21,       91,       441
    7,    49,    343,      28,      140,       784
    8,    64,    512,      36,      204,      1296
    9,    81,    729,      45,      285,      2025
   10,   100,   1000,      55,      385,      3025
   11,   121,   1331,      66,      506,      4356
   12,   144,   1728,      78,      650,      6084
   13,   169,   2197,      91,      819,      8281
   14,   196,   2744,     105,     1015,     11025
   15,   225,   3375,     120,     1240,     14400
   16,   256,   4096,     136,     1496,     18496
   17,   289,   4913,     153,     1785,     23409
   18,   324,   5832,     171,     2109,     29241
   19,   361,   6859,     190,     2470,     36100
   20,   400,   8000,     210,     2870,     44100
   21,   441,   9261,     231,     3311,     53361
   22,   484,  10648,     253,     3795,     64009
   23,   529,  12167,     276,     4324,     76176
   24,   576,  13824,     300,     4900,     90000
   25,   625,  15625,     325,     5525,    105625
   26,   676,  17576,     351,     6201,    123201
   27,   729,  19683,     378,     6930,    142884
   28,   784,  21952,     406,     7714,    164836
   29,   841,  24389,     435,     8555,    189225
   30,   900,  27000,     465,     9455,    216225
   31,   961,  29791,     496,    10416,    246016
   32,  1024,  32768,     528,    11440,    278784
   33,  1089,  35937,     561,    12529,    314721
   34,  1156,  39304,     595,    13685,    354025
   35,  1225,  42875,     630,    14910,    396900
   36,  1296,  46656,     666,    16206,    443556
   37,  1369,  50653,     703,    17575,    494209
   38,  1444,  54872,     741,    19019,    549081
   39,  1521,  59319,     780,    20540,    608400
   40,  1600,  64000,     820,    22140,    672400
   41,  1681,  68921,     861,    23821,    741321
   42,  1764,  74088,     903,    25585,    815409
   43,  1849,  79507,     946,    27434,    894916
   44,  1936,  85184,     990,    29370,    980100
   45,  2025,  91125,    1035,    31395,   1071225
   46,  2116,  97336,    1081,    33511,   1168561
   47,  2209, 103823,    1128,    35720,   1272384
   48,  2304, 110592,    1176,    38024,   1382976
   49,  2401, 117649,    1225,    40425,   1500625
   50,  2500, 125000,    1275,    42925,   1625625
   51,  2601, 132651,    1326,    45526,   1758276
   52,  2704, 140608,    1378,    48230,   1898884
   53,  2809, 148877,    1431,    51039,   2047761
   54,  2916, 157464,    1485,    53955,   2205225
   55,  3025, 166375,    1540,    56980,   2371600
   56,  3136, 175616,    1596,    60116,   2547216
   57,  3249, 185193,    1653,    63365,   2732409
   58,  3364, 195112,    1711,    66729,   2927521
   59,  3481, 205379,    1770,    70210,   3132900
   60,  3600, 216000,    1830,    73810,   3348900
   61,  3721, 226981,    1891,    77531,   3575881
   62,  3844, 238328,    1953,    81375,   3814209
   63,  3969, 250047,    2016,    85344,   4064256
   64,  4096, 262144,    2080,    89440,   4326400
   65,  4225, 274625,    2145,    93665,   4601025
   66,  4356, 287496,    2211,    98021,   4888521
   67,  4489, 300763,    2278,   102510,   5189284
   68,  4624, 314432,    2346,   107134,   5503716
   69,  4761, 328509,    2415,   111895,   5832225
   70,  4900, 343000,    2485,   116795,   6175225
   71,  5041, 357911,    2556,   121836,   6533136
   72,  5184, 373248,    2628,   127020,   6906384
   73,  5329, 389017,    2701,   132349,   7295401
   74,  5476, 405224,    2775,   137825,   7700625
   75,  5625, 421875,    2850,   143450,   8122500
   76,  5776, 438976,    2926,   149226,   8561476
   77,  5929, 456533,    3003,   155155,   9018009
   78,  6084, 474552,    3081,   161239,   9492561
   79,  6241, 493039,    3160,   167480,   9985600
   80,  6400, 512000,    3240,   173880,  10497600
   81,  6561, 531441,    3321,   180441,  11029041
   82,  6724, 551368,    3403,   187165,  11580409
   83,  6889, 571787,    3486,   194054,  12152196
   84,  7056, 592704,    3570,   201110,  12744900
   85,  7225, 614125,    3655,   208335,  13359025
   86,  7396, 636056,    3741,   215731,  13995081
   87,  7569, 658503,    3828,   223300,  14653584
   88,  7744, 681472,    3916,   231044,  15335056
   89,  7921, 704969,    4005,   238965,  16040025
   90,  8100, 729000,    4095,   247065,  16769025
   91,  8281, 753571,    4186,   255346,  17522596
   92,  8464, 778688,    4278,   263810,  18301284
   93,  8649, 804357,    4371,   272459,  19105641
   94,  8836, 830584,    4465,   281295,  19936225
   95,  9025, 857375,    4560,   290320,  20793600
   96,  9216, 884736,    4656,   299536,  21678336
   97,  9409, 912673,    4753,   308945,  22591009
   98,  9604, 941192,    4851,   318549,  23532201
   99,  9801, 970299,    4950,   328350,  24502500
  100, 10000,1000000,    5050,   338350,  25502500
